"","trending_date","title","channel_title","category_id","publish_time","tags","views","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","video_error_or_removed"
"421","18.06.03","Cut for Time: Star Warriors - SNL","Saturday Night Live",24,"2018-03-04T07:18:07.000Z","SNL|Saturday Night Live|SNL Season 43|Episode 1739|Charles Barkley|J.J. Abrams|Alex Moffat|Mikey Day|Kate McKinnon|Pete Davidson|Kenan Thompson|Star Wars|Mos Eisley|s43|s43e14|episode 14|live|new york|comedy|sketch|funny|hilarious|late night|host|music|guest|laugh|impersonation|actor|improv|musician|charles barkley|basketball|NBA|Philadelphia 76ers|Phoenix Suns|Houston Rockets|Migos|Quavo|Offset|Takeoff|bad and boujee|stir fry",1203392,16246,1277,1117,"https://i.ytimg.com/vi/kFSm6gany_Q/default.jpg","False","False","False"
"422","18.06.03","Ron Burgundy narrates MLS opener between the Seattle Sounders and the Los Angeles FC | ESPN","ESPN",17,"2018-03-05T00:27:15.000Z","espn|espn live|ron|burgundy|ron burgundy|ron burgundy interview MLS|will ferrell|will|ferrell|will ferrell soccer|will ferrell soccer team|ron burgundy narrates soccer match|MLS|mls highlights|mls opener|seattle sounders|los angeles fc|seattle|sounders|los|angeles|fc|los angeles fc vs seattle sounders|los angeles fc-seattle sounders",156774,1849,95,291,"https://i.ytimg.com/vi/MZlakv7Gq3w/default.jpg","False","False","False"
"423","18.06.03","A Friendly Arctic Fox Greets Explorers | National Geographic","National Geographic",15,"2018-03-03T00:00:01.000Z","national geographic|nat geo|natgeo|animals|wildlife|science|explore|discover|survival|nature|documentary|Canada|Arctic Fox|Explorers|PLivjPDlt6ApRfQqtRw7JkGCLvezGeMBB2|PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb|PLivjPDlt6ApS5FeUq8c-I7WWPVx3W0blc|Friendly Arctic Fox Greets Explorers|Fox Greets Explorers|frozen landscape|Canadian Arctic|human visitor|Canadian|Arctic|curious|Fox Greets|human|frozen|landscape|very curious about one human visitor",349158,9203,99,685,"https://i.ytimg.com/vi/C7mxTEskjQg/default.jpg","False","False","False"
"424","18.06.03","Made in Miami (Artist Spotlight Story) - Camila Cabello","Camila Cabello",10,"2018-02-27T16:00:06.000Z","camila cabello|camila|youtube music|documentary|music doc|camilla|cabello|havana|never be the same|music video|doc|camila doc|camila vlog|vlogger",1155005,131356,1042,10164,"https://i.ytimg.com/vi/73_OWzBr8Fo/default.jpg","False","False","False"
"425","18.06.03","Ed Sheeran - Supermarket Flowers [Live from the BRITs 2018]","Ed Sheeran",10,"2018-02-22T16:26:18.000Z","edsheeran|ed sheeran|acoustic|live|cover|official|remix|official video|lyrics|session|supermarket|flowers|the|brit's|brits|brit|awards|british|male|artist|2018",6786357,202290,3889,8894,"https://i.ytimg.com/vi/EAGhzuitLXU/default.jpg","False","False","False"
"426","18.07.03","Stephen A. openly confesses why he's getting annoyed talking about Lonzo Ball | First Take | ESPN","ESPN",17,"2018-03-05T16:24:22.000Z","espn|espn live|first take|stephen a smith|stephen a. smith|stephen a|stephen a.|openly|confesses|why|he's|getting|annoyed|talking|about|lonzo ball|lonzo|ball|lonzo ball first take|first take lonzo ball|first take nba|first take daily|first take espn|espn first take",753119,5799,482,1297,"https://i.ytimg.com/vi/4ShwEAGIu-I/default.jpg","False","False","False"
"427","18.07.03","Cut for Time: Star Warriors - SNL","Saturday Night Live",24,"2018-03-04T07:18:07.000Z","SNL|Saturday Night Live|SNL Season 43|Episode 1739|Charles Barkley|J.J. Abrams|Alex Moffat|Mikey Day|Kate McKinnon|Pete Davidson|Kenan Thompson|Star Wars|Mos Eisley|s43|s43e14|episode 14|live|new york|comedy|sketch|funny|hilarious|late night|host|music|guest|laugh|impersonation|actor|improv|musician|charles barkley|basketball|NBA|Philadelphia 76ers|Phoenix Suns|Houston Rockets|Migos|Quavo|Offset|Takeoff|bad and boujee|stir fry",1423657,17983,1423,1293,"https://i.ytimg.com/vi/kFSm6gany_Q/default.jpg","False","False","False"
"428","18.07.03","A Friendly Arctic Fox Greets Explorers | National Geographic","National Geographic",15,"2018-03-03T00:00:01.000Z","national geographic|nat geo|natgeo|animals|wildlife|science|explore|discover|survival|nature|documentary|Canada|Arctic Fox|Explorers|PLivjPDlt6ApRfQqtRw7JkGCLvezGeMBB2|PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb|PLivjPDlt6ApS5FeUq8c-I7WWPVx3W0blc|Friendly Arctic Fox Greets Explorers|Fox Greets Explorers|frozen landscape|Canadian Arctic|human visitor|Canadian|Arctic|curious|Fox Greets|human|frozen|landscape|very curious about one human visitor",407936,10213,113,780,"https://i.ytimg.com/vi/C7mxTEskjQg/default.jpg","False","False","False"
"429","18.07.03","Made in Miami (Artist Spotlight Story) - Camila Cabello","Camila Cabello",10,"2018-02-27T16:00:06.000Z","camila cabello|camila|youtube music|documentary|music doc|camilla|cabello|havana|never be the same|music video|doc|camila doc|camila vlog|vlogger",1203521,132938,1116,10205,"https://i.ytimg.com/vi/73_OWzBr8Fo/default.jpg","False","False","False"
"430","18.07.03","Ed Sheeran - Supermarket Flowers [Live from the BRITs 2018]","Ed Sheeran",10,"2018-02-22T16:26:18.000Z","edsheeran|ed sheeran|acoustic|live|cover|official|remix|official video|lyrics|session|supermarket|flowers|the|brit's|brits|brit|awards|british|male|artist|2018",7061203,203630,3935,8943,"https://i.ytimg.com/vi/EAGhzuitLXU/default.jpg","False","False","False"
